record_id,golden_id,cpse_source,raw_description,unspsc_code,unit_price_inr
REC_1000,1,IOCL,"CL-300#, BALL VALVE, C.S., 4 """,40141602,45000
REC_1001,1,IOCL,"CL 300#, BALL VALVE, CS, 100 MM",40141602,45000
REC_1002,1,OIL,"BALL VALVE, 300#, CS, 100 MM",40141602,45000
REC_1003,1,BPCL,"CS, 300#, 4 INCH, BALL VALVE",40141602,45000
REC_1004,1,BPCL,"4 INCH, BALL VALVE, C.S., CL 300",40141602,45000
REC_1005,1,ONGC,"300, BALL VALVE, C.S., 4 """,40141602,45000
REC_1006,1,IOCL,"BALL VALVE, CARBON STEEL, 4 IN, CL-300#",40141602,45000
REC_1007,1,BPCL,"4 IN, BALL VALVE, CL-300, CARBON STEEL",40141602,45000
REC_1008,1,OIL,"BALL VALVE, CLASS 300LB, CS, 4 IN",40141602,45000
REC_1009,1,IOCL,"CS, 4 IN, CLASS 300LB, BALL VALVE",40141602,45000
REC_1010,1,OIL,"100 MM, CLASS 300#, BALL VALVE, CARBON STEEL",40141602,45000
REC_1011,1,BPCL,"BALL VALVE, 300#, C.S., 100 MM",40141602,45000
REC_1012,1,IOCL,"4 "", BALL VALVE, CS, CL-300",40141602,45000
REC_1013,1,ONGC,"100 MM, 300, C.S., BALL VALVE",40141602,45000
REC_1014,1,BPCL,"CS, 4 INCH, BALL VALVE, CLASS 300#",40141602,45000
REC_1015,1,OIL,"4 "", CL-300#, BALL VALVE, C.S.",40141602,45000
REC_1016,1,BPCL,"300LB, CS, BALL VALVE, 100 MM",40141602,45000
REC_1017,1,IOCL,"C.S., CL 300, BALL VALVE, 4 """,40141602,45000
REC_1018,1,OIL,"BALL VALVE, CLASS 300#, C.S., 4 INCH",40141602,45000
REC_1019,1,ONGC,"CLASS 300#, CARBON STEEL, BALL VALVE, 4 INCH",40141602,45000
REC_1020,1,BPCL,"CL-300, C.S., BALL VALVE, 4 """,40141602,45000
REC_1021,1,IOCL,"BALL VALVE, CS, 300#, 4 IN",40141602,45000
REC_1022,1,OIL,"C.S., BALL VALVE, 4 IN, CLASS 300#",40141602,45000
REC_1023,1,IOCL,"C.S., BALL VALVE, 4 "", 300LB",40141602,45000
REC_1024,1,IOCL,"300#, CARBON STEEL, BALL VALVE, 4 """,40141602,45000
REC_1025,1,ONGC,"CARBON STEEL, 300LB, BALL VALVE, 4 IN",40141602,45000
REC_1026,1,IOCL,"C.S., CL 300#, BALL VALVE, 4 """,40141602,45000
REC_1027,1,ONGC,"CS, 100 MM, BALL VALVE, CL 300#",40141602,45000
REC_1028,1,BPCL,"CARBON STEEL, BALL VALVE, CLASS 300#, 100 MM",40141602,45000
REC_1029,1,IOCL,"4 "", BALL VALVE, C.S., CL 300#",40141602,45000
REC_1030,1,IOCL,"CS, BALL VALVE, CL 300, 4 """,40141602,45000
REC_1031,1,OIL,"CLASS 300, BALL VALVE, 4 "", C.S.",40141602,45000
REC_1032,1,BPCL,"BALL VALVE, CL-300, 4 IN, CARBON STEEL",40141602,45000
REC_1033,1,IOCL,"BALL VALVE, CL 300#, CARBON STEEL, 4 """,40141602,45000
REC_1034,1,OIL,"BALL VALVE, CS, 300LB, 4 INCH",40141602,45000
REC_1035,1,IOCL,"4 INCH, C.S., CL-300LB, BALL VALVE",40141602,45000
REC_1036,1,BPCL,"BALL VALVE, 4 INCH, 300#, C.S.",40141602,45000
REC_1037,1,BPCL,"CS, 4 "", CLASS 300LB, BALL VALVE",40141602,45000
REC_1038,1,OIL,"4 INCH, BALL VALVE, CS, CLASS 300",40141602,45000
REC_1039,1,IOCL,"C.S., BALL VALVE, CL 300LB, 4 """,40141602,45000
REC_1040,1,IOCL,"300#, BALL VALVE, CARBON STEEL, 4 INCH",40141602,45000
REC_1041,1,BPCL,"C.S., CL-300#, BALL VALVE, 100 MM",40141602,45000
REC_1042,1,IOCL,"C.S., BALL VALVE, CLASS 300, 4 IN",40141602,45000
REC_1043,1,IOCL,"BALL VALVE, CS, 100 MM, CL-300#",40141602,45000
REC_1044,1,OIL,"CL-300LB, BALL VALVE, 4 IN, CS",40141602,45000
REC_1045,1,BPCL,"4 INCH, CLASS 300, BALL VALVE, C.S.",40141602,45000
REC_1046,1,BPCL,"BALL VALVE, C.S., 4 IN, CL 300#",40141602,45000
REC_1047,1,ONGC,"CL-300LB, 4 "", CARBON STEEL, BALL VALVE",40141602,45000
REC_1048,1,IOCL,"BALL VALVE, 4 IN, CL 300, CARBON STEEL",40141602,45000
REC_1049,1,IOCL,"BALL VALVE, 4 INCH, C.S., CLASS 300LB",40141602,45000
REC_1050,1,OIL,"BALL VALVE, CLASS 300, CARBON STEEL, 4 IN",40141602,45000
REC_1051,1,ONGC,"BALL VALVE, CL-300LB, 4 "", CARBON STEEL",40141602,45000
REC_1052,1,ONGC,"CL-300, C.S., 4 IN, BALL VALVE",40141602,45000
REC_1053,1,IOCL,"CL-300#, C.S., BALL VALVE, 4 IN",40141602,45000
REC_1054,1,OIL,"BALL VALVE, CLASS 300LB, C.S., 100 MM",40141602,45000
REC_1055,1,ONGC,"100 MM, CS, BALL VALVE, CL 300#",40141602,45000
REC_1056,1,ONGC,"BALL VALVE, C.S., CL 300LB, 4 """,40141602,45000
REC_1057,1,ONGC,"BALL VALVE, C.S., 100 MM, CL-300",40141602,45000
REC_1058,1,OIL,"C.S., 4 INCH, BALL VALVE, CL-300LB",40141602,45000
REC_1059,1,OIL,"CARBON STEEL, CL 300#, BALL VALVE, 4 INCH",40141602,45000
REC_1060,1,OIL,"CS, BALL VALVE, 4 IN, CLASS 300LB",40141602,45000
REC_1061,1,OIL,"CARBON STEEL, BALL VALVE, 100 MM, CL 300",40141602,45000
REC_1062,1,BPCL,"BALL VALVE, CARBON STEEL, CL-300LB, 4 INCH",40141602,45000
REC_1063,1,ONGC,"CARBON STEEL, BALL VALVE, CLASS 300, 4 """,40141602,45000
REC_1064,1,IOCL,"C.S., 100 MM, BALL VALVE, CL 300#",40141602,45000
REC_1065,1,OIL,"BALL VALVE, CARBON STEEL, 4 "", 300#",40141602,45000
REC_1066,1,ONGC,"4 INCH, CL 300LB, CARBON STEEL, BALL VALVE",40141602,45000
REC_1067,1,BPCL,"CL 300#, C.S., BALL VALVE, 4 IN",40141602,45000
REC_1068,1,OIL,"BALL VALVE, CS, CL 300, 4 IN",40141602,45000
REC_1069,1,BPCL,"4 IN, CL 300#, BALL VALVE, C.S.",40141602,45000
REC_1070,1,BPCL,"CARBON STEEL, CL-300#, BALL VALVE, 100 MM",40141602,45000
REC_1071,1,IOCL,"CLASS 300, 4 "", BALL VALVE, CARBON STEEL",40141602,45000
REC_1072,1,IOCL,"100 MM, BALL VALVE, CARBON STEEL, CLASS 300LB",40141602,45000
